NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
242,61250,25815,64395,17015,14,15,17,17,18,17,93,16,93,30,0,4,0,8,0,4,0,8,0.2,42,0.1,25,0,8,0,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3,0.36,1,0,0,0,0,10159,20318,10159,20318,10159,20318,9734,19468,9734,19468,9734,19468,26,25,24,23,21,19,0,0,0,0,0,0,0,0,0,0
243,115000,101436,0,0,3,7,15,15,9,4,92,29,100,0,0,2,0,3,0,2,0,2,0,0,0,0,0,0,0,3,0,3,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.18,1,0,0,0,0,0,0,0,0,990,990,990,990,990,990,990,990,990,990,990,990,33,32,31,30,28,26,0,0,0,0,0,0,0,0,0,0
244,63098,13999,54375,11959,11,13,17,16,16,16,92,25,94,6,0,22,0,19,0,19,0,16,0.2,148,0.1,82,0.2,156,0.2,165,0.2,106,0.3,180,0.3,193,0.1,97,0.2,127,0.2,130,0.14,1,0,0,0.14,1,0,0,0.14,1,0.14,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
245,39327,17286,45000,20964,28,30,34,32,31,35,97,31,93,43,0.6,97,0.5,91,0.6,97,0.6,102,0.7,118,0.5,91,0.5,94,0.7,128,0.7,121,0.6,105,0.8,148,0.8,134,0.8,141,0.7,116,0.57,1,1.71,3,0,0,0,0,1.14,2,0,0,2.27,4,1.14,2,4050,64794,4320,64800,4426,66394,4422,66328,4422,66328,4422,66328,44,43,42,41,39,37,86,556,93,599,93,599,93,599,93,599
246,31813,13463,30104,8804,18,20,27,26,27,28,98,14,91,10,2.6,737,2.5,703,2.4,671,2.2,632,2.3,649,2.3,648,2.4,678,2.5,717,2.5,706,2.4,685,2.4,687,2.3,659,2.1,596,1.6,468,1.05,3,2.11,6,2.11,6,0.7,2,0.7,2,9.49,27,4.57,13,0.7,2,17587,263809,15975,239625,14640,263513,14114,268160,13111,249115,11268,236627,23,22,24,23,22,20,35,422,35,423,35,423,35,423,35,423
247,27794,14428,26513,11560,26,30,41,40,36,35,98,66,93,7,5.1,662,4.4,575,3.6,474,2.8,362,2.5,330,2.7,348,3.3,432,4,527,3.3,429,3.1,407,3.9,513,5.3,690,4.3,568,4,523,1.53,2,3.82,5,3.82,5,0,0,0,0,1.53,2,0.76,1,1.53,2,36315,472095,35488,461344,37616,489010,36956,480427,36956,480427,36949,480335,30,29,28,27,25,23,80,361,92,415,92,415,92,415,92,416
248,44803,15541,27375,16313,24,23,26,26,25,25,84,62,100,0,1.7,278,1.5,238,1.8,297,2,320,1.5,251,3.7,606,3.9,627,3.9,628,4.1,658,4.3,699,3.9,638,4.5,728,4.1,660,4.1,664,1.24,2,1.24,2,4.95,8,4.33,7,0.62,1,0,0,0.62,1,54.43,88,9650,202652,9650,202650,9650,202652,9627,202172,9627,202172,9627,202172,41,40,39,38,36,34,37,306,37,306,37,306,37,306,37,306
249,32533,7094,33063,8081,30,31,43,42,39,44,85,36,92,11,2.6,328,2.7,341,2.9,368,2.8,360,1.5,187,1,134,1.3,160,1.3,165,1.3,165,1.9,248,1.9,240,1.4,182,1.9,242,1.7,216,6.24,8,9.36,12,0,0,0.78,1,1.56,2,1.56,2,1.56,2,77.21,99,5188,62250,5188,62256,5188,62250,5188,62250,5274,63285,5274,63285,36,35,34,33,31,29,0,0,0,0,0,0,0,0,0,0
250,62907,9867,56641,10113,6,6,9,9,10,8,98,34,91,37,0.1,21,0.2,64,0.1,46,0.1,24,0.1,17,0.1,18,0.1,18,0.1,17,0.1,21,0.1,23,0.1,20,0.1,23,0.1,18,0.1,25,1.23,4,1.54,5,0.31,1,0,0,0,0,0.31,1,0,0,0.31,1,2714,5428,2714,5428,2714,5428,2714,5428,3143,9430,3143,9430,14,13,12,11,8,6,0,0,0,0,0,0,0,0,0,0
251,56594,20267,60833,24487,11,11,12,12,10,8,99,25,97,6,0.2,62,0.3,92,0.2,73,0.2,53,0.1,30,0.1,44,0.1,24,0.1,38,0,4,0,3,0,4,0,3,0,4,0,5,0,0,0,0,0.33,1,0,0,0,0,0,0,0.33,1,0,0,736,736,736,736,736,736,736,736,736,736,736,736,17,16,15,14,12,10,0,0,0,0,0,0,0,0,0,0
252,80978,14090,74830,11529,5,4,5,5,7,5,95,34,96,38,1,237,1,244,1,243,1,245,0.1,36,0.2,60,0.2,53,0.2,59,0.5,128,0.2,48,0.2,48,0.2,50,0.1,32,0.1,32,0,0,0,0,0.41,1,0,0,0,0,0,0,0,0,0,0,1611,1611,1611,1611,1611,1611,1611,1611,1655,1655,,,55,54,53,52,50,,0,0,0,0,0,0,0,0,0,0
253,103393,11626,96484,15332,1,2,2,2,2,2,86,30,98,4,6.8,4404,5.7,3704,3.9,2540,3.1,2009,4.2,2701,2.5,1601,1.2,749,1.5,971,1.7,1095,1.2,777,1.1,743,1,660,1,617,0.8,547,5.13,33,6.06,39,8.39,54,7.42,48,6.18,40,3.71,24,10.51,68,3.56,23,160965,3219292,215372,4522812,200536,4010727,159630,3352231,192013,4224275,113470,2155927,13,12,12,10,7,9,32,279,32,281,32,280,32,280,32,280
254,41201,7692,43250,10341,4,4,4,6,7,5,93,32,100,0,11,15566,8.6,12169,8.7,12330,8.3,11788,8.1,11438,7,9957,5.2,7377,8,11356,7.3,10314,7,9854,6.3,8888,5.7,8079,5.5,7850,5.5,7824,3.04,43,2.69,38,2.69,38,3.39,48,4.38,62,3.25,46,2.9,41,1.63,23,104133,5831466,105403,5586359,103407,5480567.25,103330,5269825.594,111843,5592164,109315,5465755,21,21,20,19,17,16,85,557,85,532,53,300,91,299,91,299
255,94167,21425,87434,27260,2,2,1,1,2,2,89,64,94,28,0.5,236,0.8,370,0.6,266,0.5,258,0.5,244,0.5,256,0.5,229,0.5,252,1.7,798,1.7,818,1.3,609,1.1,508,0.9,423,1,485,2.74,13,0.42,2,2.32,11,0.42,2,0.42,2,0.63,3,9.07,43,24.67,117,22930,91721,22930,91720,19573,78292,19711,78844,18455,92273,18455,92273,18,17,17,16,13,11,45,638,54,671,54,671,54,671,54,671
256,130357,16448,121520,19113,2,2,1,1,2,4,96,28,95,18,0.1,215,0.1,220,0,136,0,139,0,143,0,162,0,103,0,123,0,123,0,75,0,63,0,47,0,51,0,64,0.12,5,0.71,29,0.17,7,0.12,5,0.24,10,0.2,8,0.1,4,0.12,5,4929,59150,5120,46080,5120,46081,6216,43513,5299,42393,5366,37560,35,44,43,38,38,40,0,0,0,0,0,0,0,0,0,0
257,115956,21832,97263,16286,3,3,4,4,5,4,95,19,99,2,1,1166,0.9,1115,1,1176,0.9,1124,0.5,557,0.4,422,0.2,255,0.2,228,0.1,119,0.2,191,0.2,226,0.1,87,0.1,82,0.1,82,0.5,6,0.92,11,0.92,11,0.67,8,1.42,17,1.84,22,0.75,9,1.34,16,18736,468392,19258,462192,19223,461342,19223,461342,20603,453271,22818,410719,10,9,8,7,5,4,91,1557,89,1459,88,1279,88,1280,60,852
258,56800,9681,49021,6924,19,23,29,29,29,27,99,50,94,8,0.4,323,0.4,366,0.4,366,0.4,343,0.4,304,0.4,316,0.4,320,0.4,299,0.3,286,0.4,301,0.3,273,0.3,254,0.3,230,0.3,210,0,0,0.36,3,0.24,2,0,0,0.12,1,0.12,1,0.6,5,0.36,3,5160,61921,5160,61920,5160,61921,5398,59373,5384,59229,5384,59229,45,44,43,41,35,33,0,0,0,0,0,0,0,0,0,0
259,63202,14268,61375,11673,18,20,23,22,20,20,87,30,97,7,0.3,125,0.3,103,0.3,106,0.3,108,0.3,139,1.2,477,1.8,748,2.1,869,2.1,850,1.9,765,2.1,855,0.5,222,3,1251,3.8,1559,0,0,0.24,1,0,0,0.24,1,0.24,1,0.49,2,0,0,0,0,5235,94235,5235,94230,5235,94235,5224,94037,5605,100883,13173,263450,47,46,45,44,42,40,49,485,49,484,49,484,49,484,49,486
260,41100,10037,46661,6808,19,21,28,27,24,23,91,30,91,20,2.9,4052,2.9,4009,2.8,3933,3,4146,2.8,3986,2.2,3101,2,2871,2.3,3285,2.3,3247,2.3,3259,2.2,3129,2,2810,1.5,2045,1.9,2699,1.21,17,0.64,9,1.07,15,1.21,17,0.92,13,0.78,11,1.78,25,1.35,19,59527,3809706,65610,4133430,65574,4131155,64499,4063429,65491,4060457,67487,4049220,28,27,26,25,24,22,8,94,8,96,8,96,8,97,8,98
261,76548,8975,71820,4921,6,5,10,9,8,9,#DIV/0!,#DIV/0!,97,2,0.1,57,0.1,61,0.1,55,0.1,47,0.1,73,0.1,29,0,27,0.1,38,0,23,0.1,33,0.1,30,0.1,73,0.1,73,0.1,31,0.18,1,0,0,0,0,0.55,3,0.18,1,0.37,2,0.18,1,0,0,,,,,,,,,,,,,,,,,,,0,0,0,2,0,2,0,2,0,2
262,130299,8989,129698,37544,1,1,2,2,1,1,96,24,94,16,0.3,267,0.2,168,0.2,181,0.2,227,0.1,91,0.1,83,0.1,80,0.1,111,0.3,302,0.2,184,0.2,187,0.1,150,0.3,271,0.1,139,0.4,4,0.2,2,0,0,0.3,3,1.58,16,0.1,1,0.3,3,0,0,34759,34759,34759,34759,46880,46880,46880,46880,46880,46880,46880,46880,28,27,26,25,23,21,12,154,11,132,0,0,0,0,0,0
263,124868,23804,120000,33244,2,2,2,2,2,1,98,39,93,5,0.3,159,0.3,210,0.3,198,0.3,215,0.3,212,0.3,198,0.2,149,0.2,155,0.2,105,0.1,72,0.1,37,0.1,44,0.1,57,0.2,95,0.16,1,0.32,2,0.16,1,0,0,0.16,1,0,0,0.32,2,0.16,1,13351,26701,13351,26702,13351,26701,13351,26701,13351,26701,13351,26701,23,22,21,20,18,16,2,21,6,63,20,210,20,210,20,211
264,59911,17036,66078,19772,9,10,12,12,11,9,97,27,91,4,0.2,65,0.2,58,0.2,68,0.2,60,0.1,47,0.1,48,1.9,631,1.8,580,0.2,63,0.1,35,0.1,18,0.3,96,0.3,102,0.1,26,0.31,1,0,0,0.31,1,0.31,1,0.61,2,0,0,9.22,30,0.31,1,3585,7170,3585,7170,3585,7170,3585,7170,3585,7170,3585,7170,25,24,24,22,21,19,0,0,0,0,0,0,0,0,0,0
265,93889,15866,91310,13325,6,8,11,10,8,9,97,35,95,9,0.4,113,0.5,127,0.5,145,0.5,144,0.4,119,0.4,109,0.5,141,0.4,110,0.4,117,0.3,75,0.3,70,0.2,63,0.2,67,0.3,86,0.36,1,0.72,2,0,0,0.36,1,0,0,0,0,0,0,0.36,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
266,67388,11683,75966,10786,7,8,10,10,10,10,83,25,93,3,0.1,260,0.1,248,0.1,259,0.1,273,0,93,0.1,166,0.1,101,0.1,105,0.1,127,0.1,210,0.1,184,0.1,176,0.1,142,0.1,151,0,0,0,0,0.16,3,0.11,2,0.05,1,0.16,3,0.16,3,0.11,2,14064,98451,12512,100096,12054,96432,12054,96432,12030,96240,11813,94501,30,32,31,30,23,28,0,0,0,0,0,0,0,0,0,0
267,90353,17827,81584,6522,6,7,7,7,7,9,100,38,97,5,1.9,3799,1.8,3520,1.5,3055,1.4,2742,1.2,2456,0.8,1620,0.8,1668,0.8,1547,0.9,1818,0.9,1863,0.8,1502,0.6,1287,0.7,1420,0.8,1643,0.2,4,0.55,11,0.25,5,0.2,4,0.75,15,0.55,11,1.46,29,2.41,48,102025,3264794,105316,3264796,105316,3264794,104723,3246419,111477,3232841,95985,2783553,22,22,21,20,19,17,0,0,0,0,0,0,0,0,0,0
268,41031,7874,45229,8824,19,25,26,26,23,24,89,26,94,8,0.1,15,0.2,45,0.1,14,0.1,22,0.1,21,0.1,13,0,11,0,8,0.1,15,0,8,0.1,21,0.1,34,0.1,29,0.2,46,0.39,1,0,0,0,0,0.39,1,0,0,0,0,0.78,2,0,0,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906,14,13,12,11,9,7,0,0,0,0,0,0,0,0,0,0
269,96800,6594,90677,15396,4,4,3,3,4,6,96,20,96,3,1.9,881,1.7,763,1.6,713,1.4,650,1.4,634,1.3,575,1.3,577,1.3,597,1.3,573,1.2,532,1,436,0.8,376,0.7,307,0.9,418,0.22,1,1.53,7,0.66,3,1.09,5,0.66,3,0.44,2,0.66,3,0.87,4,22151,243662,22151,243661,22151,243662,22151,243662,22151,243662,22151,243662,18,17,16,15,13,11,54,654,58,699,58,699,58,699,58,692
270,46772,6510,41379,17641,22,27,27,27,36,36,100,25,93,15,5,453,6,541,6.8,610,6.4,573,6.2,557,3.1,277,3.2,286,3.9,352,3.5,314,4,362,3.1,279,3.3,298,3.4,307,3.2,291,0,0,1.11,1,0,0,2.22,2,1.11,1,1.11,1,1.11,1,4.45,4,34116,307042,34116,307044,34116,307042,34201,307808,34201,307808,34485,310363,36,35,34,33,31,29,100,598,100,598,100,598,100,598,100,598
271,55058,18075,43986,11935,27,30,39,37,37,38,97,37,92,6,0,3,0,2,0,6,0,4,0,4,0.4,70,0.5,79,0.5,87,0.4,74,0.5,81,0.5,88,0.5,84,0.5,87,0.9,152,0.59,1,0,0,0,0,0,0,0.59,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
272,45295,4256,40536,3557,13,21,20,19,21,23,98,23,90,4,5.7,2981,4.7,2473,3.9,2078,4.3,2267,4.9,2577,4.1,2186,4.2,2226,5,2617,6.1,3214,6.9,3657,6.4,3347,5.8,3035,6,3167,6.1,3231,0.19,1,1.9,10,3.6,19,3.41,18,1.9,10,1.52,8,0.76,4,0.38,2,36146,2060346,36239,2065623,35830,2042330,33937,1968333,33925,1967641,34114,1910409,27,26,25,24,22,20,41,320,41,320,41,320,41,320,41,320
273,78029,24029,68864,24809,10,13,12,12,17,15,99,30,99,4,0.1,51,0.1,53,0.2,96,0.1,45,0,11,0,20,0.1,46,0,26,0,26,0,6,0,7,0,8,0,8,0,14,0,0,0.5,3,0.17,1,0,0,0.17,1,0,0,0.17,1,0,0,4039,12116,4039,12117,4039,12116,4039,12116,4039,12116,4039,12116,26,25,24,23,21,19,0,0,0,0,0,0,0,0,0,0
274,71218,21505,53286,10576,8,8,12,11,11,11,89,20,92,4,22,2659,8.1,972,8.2,987,8.7,1055,9.2,1109,9.9,1200,10.5,1270,13.7,1661,15.4,1867,11.2,1355,10.9,1323,10.3,1250,8.7,1050,11.3,1367,2.49,3,0.83,1,3.32,4,9.12,11,1.66,2,0.83,1,3.32,4,0.83,1,36633,329695,36633,329697,38081,380805,36561,365606,36561,365606,33471,334706,23,22,22,20,19,17,100,554,100,554,100,554,100,554,100,554
275,53088,30513,51597,29333,6,8,10,9,10,9,91,32,90,6,1.1,444,1,402,1.1,415,1.1,437,1,372,1.1,416,1.4,562,1.4,561,2.4,936,2.5,973,2.4,936,2.2,853,1.9,754,2,766,0.51,2,0.77,3,1.54,6,0.51,2,0.77,3,0.26,1,0,0,0,0,9985,169743,9985,169745,9985,169743,9985,169743,9985,169743,9985,169743,21,20,19,18,16,14,0,0,0,0,0,0,0,0,0,0
276,83882,13186,83676,14490,7,8,8,8,8,9,100,43,96,24,0.5,199,0.5,212,0.3,141,0.2,98,0.1,61,0.1,57,0.3,136,0.5,211,0.3,141,0.2,101,0.2,69,0.2,80,0.2,82,0.1,53,0.97,4,0.24,1,1.46,6,0.73,3,0.49,2,0.24,1,0.49,2,0,0,22569,135412,17144,102864,17144,102864,17144,102864,17144,102864,15803,79016,46,48,48,47,45,29,0,0,0,0,0,0,0,0,0,0
277,90425,17240,85000,9647,6,7,8,9,8,9,91,21,99,3,0.1,99,0.1,130,0.1,98,0.1,82,0,42,0,24,0,24,0,17,0,32,0,40,0,14,0,5,0,6,0,4,0.11,1,0.33,3,0.11,1,0.11,1,0,0,0,0,0.98,9,0.22,2,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,2192,41,40,39,38,36,34,0,0,0,0,0,0,0,0,0,0
278,58049,7259,57449,5187,10,10,12,11,11,13,98,25,90,5,1.8,316,1.6,283,1.1,196,1.1,190,0.5,93,0.9,153,0.7,118,0.7,128,1.1,194,1.4,248,1.2,215,1.3,226,1.9,324,1.2,207,1.73,3,0.58,1,0.58,1,1.15,2,0.58,1,0.58,1,0.58,1,0.58,1,11395,79768,11395,79765,11395,79768,11395,79768,11387,79711,11692,81846,19,18,17,16,14,12,0,0,0,0,0,0,0,0,0,0
279,56536,9929,53552,4956,10,8,8,8,6,7,98,21,94,25,0.7,77,0.4,53,0.2,27,0.2,20,4.7,558,2,231,0.9,104,0.8,91,0.5,58,0.4,51,0.7,79,0.7,77,0.8,100,0.5,54,0,0,0,0,0,0,0,0,0.85,1,0,0,0,0,0,0,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,18,17,16,15,13,11,0,0,0,0,0,0,0,0,0,0
280,36266,6802,35089,4433,39,49,60,58,48,31,93,21,81,7,3.1,2801,3.1,2867,3.3,2990,3.2,2968,3,2772,3,2754,2.7,2518,2.9,2674,3.2,2935,3.1,2846,3.2,2890,3,2732,2.8,2582,2.9,2702,2.95,27,2.07,19,1.64,15,1.42,13,1.53,14,1.09,10,0.33,3,2.18,20,45783,3342133,44467,3246091,46631,3404056,46849,3373141,47241,3354090,48444,3342670,31,31,29,30,28,26,0,2,0,2,0,2,0,2,1,2
281,48800,12855,53631,9712,16,17,16,15,18,19,100,35,90,3,4.3,812,5.4,1014,4.1,775,3.6,679,5.5,1031,3.6,680,3.7,689,4.2,783,3.7,692,3.5,650,3.3,609,3.1,588,2.4,457,2.3,433,1.07,2,1.07,2,1.6,3,2.67,5,1.6,3,2.67,5,4.28,8,2.14,4,49614,992277,51582,980058,51582,980056,55188,993392,54729,985113,54801,986422,19,19,18,17,15,14,0,0,0,0,0,0,0,0,0,0
282,51371,9269,47009,7877,15,18,18,18,16,17,96,22,100,0,0.3,105,0.2,87,0.2,53,0.2,54,0.1,37,0.1,50,0.1,27,0.1,24,0,7,0,2,0,6,0,6,0,6,0,4,0.57,2,0,0,0,0,0,0,0,0,0.29,1,0.57,2,0.29,1,625,625,625,625,625,625,625,625,625,625,625,625,45,44,43,42,40,38,0,0,0,0,0,0,0,0,0,0
283,56023,11988,48208,11270,14,18,20,20,20,18,94,34,91,1,0.2,82,0.2,80,0.2,72,0.1,34,0.1,49,0.2,82,0.1,59,0.1,50,0.1,55,0.1,53,0.2,84,0.2,88,0.2,99,0.2,100,0.23,1,0,0,0.23,1,0.69,3,0,0,0,0,0.46,2,0,0,52976,52976,52976,52976,52976,52976,32680,32680,32680,32680,54599,54599,32,31,30,29,27,25,15,159,15,161,15,161,15,161,15,161
284,104375,53308,123269,39560,0,0,1,1,1,1,97,16,96,3,0.2,185,0.2,149,0.2,149,0.1,136,0.1,116,0,30,0,41,0,32,0.1,94,0.1,77,0.1,84,0.1,61,0,44,0,31,5.04,48,5.57,53,3.05,29,0.32,3,0.11,1,0.63,6,0,0,0.21,2,29498,265485,15903,47709,5846,11692,5846,11692,5846,11692,5846,11692,5,9,12,10,9,7,55,388,1,3,0,0,0,0,1,2
285,-,**,,,,,,,,,96,45,,,4.9,13561,5.1,13990,4.8,13344,4.5,12374,4.2,11595,4.2,11589,3.6,10033,4.1,11352,4.6,12639,4.4,12090,3.8,10626,4,11125,4.4,12095,4.5,12526,2.13,59,1.74,48,2.13,59,1.74,48,1.27,35,1.27,35,2.25,62,1.2,33,100693,17721930,99518,17216614,97838,17023792,97565,16781244,96276,16752108,95623,16447073,33,33,32,31,29,27,0,0,0,0,0,0,0,0,0,0
286,24705,13748,37434,11532,,,,,,,94,51,95,7,0.9,1526,0.8,1265,0.8,1386,0.9,1413,1,1604,1,1677,0.4,704,0.2,360,0.5,883,0.5,855,0.5,874,0.5,787,0.7,1152,0.3,479,1.04,17,0.98,16,0.06,1,0.91,15,0.67,11,0.37,6,0.55,9,0.37,6,42625,1449249,36873,1438047,31361,1223072,30421,1186437,28660,1232398,25199,1033163,33,34,34,33,32,32,0,0,0,0,0,0,0,0,0,0
287,49854,9643,50516,11341,11,11,11,11,10,11,97,20,99,2,8.6,13272,7.6,11724,7.7,11806,7.6,11779,7.1,10955,6.5,10024,6,9170,6.6,10147,7.3,11218,6.8,10502,6.5,10045,6.3,9748,6.6,10233,6.1,9398,2.34,36,3.7,57,4.29,66,4.55,70,3.96,61,2.66,41,3.57,55,2.47,38,27051,6735814,27257,6650708,27822,6844223,27024,6566716,27204,6583343,27010,6563416,28,27,27,26,24,23,99,1224,99,1203,99,1204,99,1221,99,1221
288,76424,39034,72071,5702,3,2,3,3,3,5,93,25,99,24,0.6,325,0.5,280,0.4,243,0.4,240,3.9,2217,4,2313,0.5,286,0.5,276,3.9,2240,3.5,2033,3.5,2029,3.3,1909,3.4,1933,3.2,1843,0.7,4,0.35,2,0,0,0.17,1,0.52,3,0,0,0.7,4,1.74,10,9686,222776,9953,218966,9953,218968,9452,198488,9031,189648,9282,185639,37,38,37,40,40,40,16,160,12,118,12,117,12,116,11,110
289,75568,15725,74158,14733,7,7,8,8,7,6,98,45,89,3,1.1,1351,1.1,1350,1,1291,0.8,990,0.6,695,0.4,522,0.4,446,0.4,452,0.2,236,0,49,0,8,0,6,0,4,0,9,1.51,19,0.4,5,1.03,13,0.64,8,1.19,15,0.32,4,0.32,4,0.24,3,49830,697618,53520,695760,53520,695758,46179,554148,46179,554148,50929,611151,10,10,9,9,7,7,17,227,16,206,16,206,16,206,11,147
290,-,**,21705,6330,27,21,34,32,57,53,98,14,97,17,10.9,9197,10.4,8789,10.2,8570,9.9,8327,9,7551,7.9,6658,9.3,7808,10.3,8674,12.2,10307,11.3,9508,11.4,9585,10.6,8917,10.9,9180,10.6,8936,6.17,52,3.09,26,7.12,60,5.22,44,3.8,32,2.85,24,2.97,25,4.39,37,19115,5141965,19120,5162400,17981,4890882,18796,5112604,18956,5137118,18860,5092070,42,42,41,40,39,37,58,148,40,163,39,162,40,167,40,167
291,27263,4713,26935,4570,34,34,34,33,29,42,94,67,93,6,0.4,62,0.3,38,0.3,37,0.2,36,0.3,37,1.2,175,1.2,175,1.3,190,1.2,176,1.3,190,0.2,32,0.7,101,0.8,124,1,141,0.68,1,6.82,10,16.37,24,0,0,1.36,2,0.68,1,0,0,0,0,3362,13446,3362,13448,3032,15159,3035,15174,3035,15174,3035,15174,43,42,42,41,39,37,2,16,4,36,3,34,3,34,3,34
292,19189,11944,28571,10782,38,49,53,50,49,50,98,33,78,9,1.2,362,1.1,351,1.3,394,1.1,325,1,310,1.7,513,1.3,400,1.5,443,1.7,513,1.7,513,1.6,498,0.7,224,1,313,1.4,424,0.65,2,5.89,18,1.96,6,0,0,0.65,2,0.65,2,5.89,18,6.22,19,17070,529174,15884,492404,15752,488307,14632,497499,13981,503325,13981,503325,50,49,48,46,45,43,0,0,0,0,0,0,0,0,0,0
293,37857,16642,38000,18558,42,47,63,66,51,55,97,47,88,14,0.9,101,0.9,104,1,107,1,113,0.9,101,0.7,72,1,108,1.5,162,1.5,161,1.6,176,1.1,125,1.3,145,1.3,145,1.3,146,0.91,1,5.46,6,0,0,0,0,0,0,0.91,1,1.82,2,1.82,2,7366,88387,7366,88392,7366,88387,7366,88387,7366,88387,6887,89526,58,57,56,55,53,52,35,124,24,86,25,87,25,88,25,88
294,-,**,25560,22335,46,51,64,59,52,58,82,16,79,6,1.2,441,1.2,446,1.3,490,1.3,480,0.8,311,0.6,239,0.6,211,0.6,208,0.4,156,1.2,463,1.2,461,0.8,314,0.8,284,1,387,0.27,1,1.07,4,0.27,1,0.27,1,1.07,4,1.07,4,1.61,6,0.27,1,22513,360200,22350,357600,26171,444909,24824,446831,24659,419196,23355,420384,44,40,38,38,35,33,26,124,25,120,28,120,28,123,28,123
295,29355,5418,22625,3330,41,43,52,48,41,48,99,32,77,3,0.2,22,0.6,59,1.6,170,1.4,144,0.2,20,0.3,28,0.2,22,0.1,11,0.2,16,0.7,75,0.6,64,0.6,66,0.6,66,0.5,56,0,0,1.89,2,0.94,1,1.89,2,1.89,2,0.94,1,0.94,1,4.71,5,2741,16448,2894,14470,2894,14470,2741,16448,2741,16448,2394,14362,32,34,33,29,27,35,0,0,0,0,0,0,0,0,0,0
